A =	134	km²				
U =	1,15	(-)				
dt =	1	ano				
SC =	19,5	hm³		6,93	0,080	9,733
ano	H (mm)	R1 (%)	R2 (%)	R (%)	C runoff	Q (hm³/a)
2000	478	4,86	4,19	4,86	0,056	3,580
2001	398	4,17	3,18	4,17	0,048	2,556
2002	563	5,85	5,52	5,85	0,067	5,076
2003	324	3,73	2,48	3,73	0,043	1,864
2004	1830	51,76	27,12	27,12	0,312	76,488
2005	504	5,13	4,57	5,13	0,059	3,988
2006	489	4,97	4,35	4,97	0,057	3,747
2007	476	4,84	4,16	4,84	0,056	3,550
2008	679	7,63	7,68	7,63	0,088	7,980
2009	1567	37,43	25,79	25,79	0,297	62,271
2010	554	5,73	5,37	5,73	0,066	4,894
2011	643	7,02	6,97	7,02	0,081	6,959
2012	227	3,47	1,96	3,47	0,040	1,213
2013	314	3,69	2,40	3,69	0,042	1,786
2014	337	3,80	2,58	3,80	0,044	1,971
2015	390	4,11	3,09	4,11	0,047	2,471
2016	432	4,43	3,58	4,43	0,051	2,951
2017	289	3,60	2,24	3,60	0,041	1,603
2018	502	5,11	4,54	5,11	0,059	3,955
2019	619	6,65	6,52	6,65	0,076	6,340
2020	634	6,88	6,80	6,88	0,079	6,721
2021	359	3,91	2,78	3,91	0,045	2,165
